Title,Year,Network,Genre
Altered Carbon,2018 - 2020,Netflix,Drama / Sci-fi
I Am Not Okay with This,2020,Netflix,Drama / Comedy
The Society,2019,Netflix,Drama
DeMarcus Family Rules,2020,Netflix,Reality
Patriot Act with Hasan Minhaj,2018 - 2020,Netflix,Comedy / Talk
White Lines,2020,Netflix,Drama / Crime
Sugar Rush,2018 - 2020,Netflix,Reality / Food
Chilling Adventures of Sabrina,2018 - 2020,Netflix,Drama
Southern Survival,2020,Netflix,Reality
Reality Z,2020,Netflix,Drama / Horror
Curon,2020,Netflix,Drama / Horror
Astronomy Club: The Sketch Show,2019,Netflix,Comedy
Magic for Humans,2018 - 2020,Netflix,Reality
Turn Up Charlie,2019,Netflix,Comedy
Merry Happy Whatever,2019,Netflix,Comedy
The Iliza Shlesinger Sketch Show,2020,Netflix,Comedy
V Wars,2019,Netflix,Drama / Horror
October Faction,2020,Netflix,Drama / Horror
Messiah,2020,Netflix,Drama
AJ and the Queen,2020,Netflix,Drama / Comedy
Insatiable,2018 - 2019,Netflix,Comedy
Spinning Out,2020,Netflix,Drama
Soundtrack,2019,Netflix,Drama
Medical Police,2020,Netflix,Comedy
Daybreak,2019,Netflix,Drama / Comedy
Mystery Science Theater 3000,2017 - 2018,Netflix,Comedy / Sci-fi
Anne with an E,2017 - 2020,Netflix,Drama
Glitch,2016 - 2019,Netflix,Drama
No Good Nick,2019,Netflix,Drama / Comedy
Frontier,2017 - 2018,Netflix,Drama
The OA,2016 - 2019,Netflix,Drama
Designated Survivor,2016 - 2019,Netflix,Drama
She's Gotta Have It,2017 - 2019,Netflix,Drama / Comedy
Chambers,2019,Netflix,Drama / Horror
Awake: The Million Dollar Game,2019,Netflix,Game Show
Santa Clarita Diet,2017 - 2019,Netflix,Comedy / Horror
Jessica Jones,2015 - 2019,Netflix,Drama / Action
Friends From College,2017 - 2019,Netflix,Comedy
Marvel's The Punisher,2017 - 2019,Netflix,Drama / Action
Travelers,2016 - 2018,Netflix,Drama / Sci-fi
Daredevil,2015 - 2018,Netflix,Drama / Action
The Good Cop,2018,Netflix,Drama / Comedy
Westside,2018,Netflix,Reality
American Vandal,2017 - 2018,Netflix,Drama / Comedy
Luke Cage,2016 - 2018,Netflix,Drama / Action
All About the Washingtons,2018,Netflix,Comedy
Iron Fist,2017 - 2018,Netflix,Drama / Action
Norm Macdonald Has a Show,2018,Netflix,Talk
Ultimate Beastmaster,2017 - 2018,Netflix,Reality
The Innocents,2018,Netflix,Drama / Fantasy
The Joel McHale Show with Joel McHale,2018,Netflix,Talk
The Break with Michelle Wolf,2018,Netflix,Talk
Bill Nye Saves the World,2017 - 2018,Netflix,Talk
Seven Seconds,2018,Netflix,Drama / Crime
Everything Sucks!,2018,Netflix,Comedy
Disjointed,2017 - 2018,Netflix,Comedy
Lady Dynamite,2016 - 2017,Netflix,Comedy
Haters Back Off,2016 - 2017,Netflix,Comedy
House of Cards,2013 - 2018,Netflix,Drama
Chelsea,2016 - 2017,Netflix,Talk
Real Rob,2015 - 2017,Netflix,Comedy
Gypsy,2017,Netflix,Drama
Girlboss,2017,Netflix,Comedy
Flaked,2016 - 2017,Netflix,Comedy
Sense8,2015 - 2018,Netflix,Drama / Sci-fi
The Get Down,2016 - 2017,Netflix,Drama
Marco Polo,2014 - 2016,Netflix,Drama
Between,2015 - 2016,Netflix,Drama / Sci-fi
Crossing Lines,2013 - 2015,Netflix,Drama / Crime
Lilyhammer,2013 - 2014,Netflix,Comedy / Drama
The Politician,2019 - 2020,Netflix,Drama / Comedy
Dancing Queen,2018,Netflix,Reality
"Boo, Bitch",2022,Netflix,Comedy
The Order,2019 - 2020,Netflix,Drama / Horror
Historical Roasts,2019,Netflix,Comedy
